number,hash,extra_data,difficulty
0,0xbbc05efd412b7cd47a2ed0e5ddfcf87af251e414ea4c801d78b6784513180a80,0x4c61206573746f6e7465636f206573746173206d616c6665726d6974612e0000d2acf5d16a983db0d909d9d761b8337fabd6cbd10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
1,0xdde4ef211ec22792a9ce5f81423db83513eed31d371278ce9bd8c85cefcf8bd0,0xd883050000846765746888676f312e31392e31856c696e757800000000000000761cf2a06253e7a388f1241e96905015f0c99c29e205b7e73ff87e0d94d9014c4eac1d3e0c2f93c8fdbf051dcab0be9b5b42de458fe11a260d986dcf5d9b413901,2
2,0x926c9f98ddba6f2e18efbdf0fd3df5143af7982a7033e3b7b34e1afd5fcb5008,0xd883050000846765746888676f312e31392e31856c696e757800000000000000dae7e5950ded57f8a16ef30613fc1fe24153050d64aaf93abd88c6c013ceb17d54f30e1e67d8b748140f2fc2f35871c54e535c16c016ca6240cb00ee567b425c01,2
3,0xe5820cc9d553fc54272e56a904b1ed187154061edcc343fee8c18e73f8124380,0xd883050000846765746888676f312e31392e31856c696e75780000000000000069fdffcdca2883a93523b7381ba07949bf499a8408ba5ea1c77d526eb0d3b6c61bc9de3268fb7183bf6e458ab8dff91cb056a7046e07891175d4210bbc3b23d100,2
4,0x30af93536b9f2899c2f5e77be24a4447a8e49c5683c74c4aab8c880c1508fdc5,0xd883050000846765746888676f312e31392e31856c696e757800000000000000716dfe47618ce3f1dbb241561b5de55ebf0e559e97f01975cc384ecf2c071d614a080ee5f9751838361dce948c3295d9fd3133cb2200eb9c75e827e670c3da8e01,2
5,0x60a2bf6889af0cd88339d2213bc79fb14960124e7bb1d5c51642883a60b3046e,0xd883050000846765746888676f312e31392e31856c696e757800000000000000a5726c8b2321b41c353d774b723ce2e67676e61b5d2b2e3700b679d03614fd6b419672dcf9978d47a17dba04a92353470455f2c443618399d499fb03b776bc3d01,2
6,0xfcaf2cc9c4460c7be87c055e7dde2039211b789743cf8291dd3ae86046e1ce99,0xd883050000846765746888676f312e31392e31856c696e7578000000000000009a40a694f1c47caedfc81003af2304daa63f3f5f93f4ff2b5a544436981cce65497f01e719329004e32ae88b143cb2af6bb4f68bc999404569bb4a6ba7d03fc300,2
7,0xb85c527a9998392fd32d5d64772ece27fd8333070e9d170a89e236a8ebd75d76,0xd883050000846765746888676f312e31392e31856c696e7578000000000000001d5185de4d932eb4f65b7e995e8609be4310cf00997b85e2776ee6822a2128684f1147d79448116dde69a1f2b7c1cef0276f917ccd32eb2f3bed4602699e23b201,2
8,0x33e8b50d1a72652ffd727c1ab5e7daf00a0082023c53ce59894284df3508f9b4,0xd883050000846765746888676f312e31392e31856c696e757800000000000000ce75dcc1c98831f1153f509992199ec797d7d05f45e590a5b654179178ec0ff34db571a0d293f4cc3da5ae61e3b32bfba2b87a57e04eb541bebc37f6dd12041d01,2
9,0x69033c7c3e018b1357226a877a3127f470d2c8361318a7550e2b2d8989290756,0xd883050000846765746888676f312e31392e31856c696e757800000000000000d4846e18cc6257d46095abae577b291e8e7fcc1400ec3846ac6d9a30367b1b6f281fa48304ab87aefa58dd2fc31d0deb7ae1861e1390011d75694887e544d5e400,2
